,VisuShrink_Soft_thresholding,VisuShrink_Hard_thresholding,VisuShrink_XT,BayesShrink_Soft_thresholding,BayesShrink_Hard_thresholding,BayesShrink_XT,thresholding_fct_Soft_thresholding,thresholding_fct_Hard_thresholding,thresholding_fct_XT
EKI,0.994517287985566,0.9965885614793942,0.9965885614793942,0.994517287985566,0.9965885614793942,0.9965885614793942,0.994517287985566,0.9965885614793942,0.9965885614793942
SSIM,0.9274469400338036,0.9864834193521392,0.9864834193521392,0.9274469400338036,0.9864834193521392,0.9864834193521392,0.9274469400338036,0.9864834193521392,0.9864834193521392
MSE,0.0001937857396516,6.135070078204153e-05,6.135070078204153e-05,0.0001937857396516,6.135070078204153e-05,6.135070078204153e-05,0.0001937857396516,6.135070078204153e-05,6.135070078204153e-05
PSNR,27.405647841486804,29.26244587895848,29.26244587895848,27.405647841486804,29.26244587895848,29.26244587895848,27.405647841486804,29.26244587895848,29.26244587895848
