,VisuShrink_Soft_thresholding,VisuShrink_Hard_thresholding,VisuShrink_XT,BayesShrink_Soft_thresholding,BayesShrink_Hard_thresholding,BayesShrink_XT,thresholding_fct_Soft_thresholding,thresholding_fct_Hard_thresholding,thresholding_fct_XT
EKI,0.9978004234484272,0.9978004234484272,0.9978004234484272,0.997498979740592,0.9973088135793956,0.997885345437872,0.99750061840967,0.9978004234484272,0.9978004234484272
SSIM,0.9899936258924924,0.9899936258924924,0.9899936258924924,0.9357080265170512,0.8992335232164561,0.9740340155710856,0.9357058586296484,0.9899936258924924,0.9899936258924924
MSE,8.945426178223418e-05,8.945426178223418e-05,8.945426178223418e-05,0.0002133157957492,0.0002129989826718,9.299048219159416e-05,0.0002134588052871,8.945426178223418e-05,8.945426178223418e-05
PSNR,31.720682418257333,31.720682418257333,31.720682418257333,30.03308672761001,21.41839926575273,29.19040049085199,30.027915437416333,31.720682418257333,31.720682418257333
