,paper,bayes,weiner,average,med,NLM
EKI,0.9982561835615031,0.9974487944936179,0.7383497770636802,0.41126643451976136,-0.14198280730630874,0.7414455405490745
SSIM,0.9927463071857119,0.951820743895799,0.9654565485393353,0.8848269439849175,0.9706399438760349,0.7161931978753004
MSE,0.0006660196255668711,0.0009411923329834808,0.003077772814062552,0.0006076863203009477,0.0014731204967266857,0.0014974795019689095
PSNR,32.770773815440286,30.82936074304531,26.113327810103595,32.59901217305316,28.690436056185142,28.335175137134662
