,db1,db2,sym2,bior1.1
EKI,0.9982561835615031,0.9967669504665341,0.9967669504665341,0.9982561835615031
SSIM,0.9927463071857119,0.8250941238419751,0.8250941238419751,0.9927463071857119
MSE,0.0006660196255668711,0.01828809758060517,0.01828809758060517,0.0006660196255668711
PSNR,32.770773815440286,22.670770506021594,22.670770506021594,32.770773815440286
