,img_name,wavelet,EKI,SSIM,MSE,PSNR
0,malignant(27),db1,0.9985020586511876,0.9671800149305058,0.0010690169339402,29.710154152228824
1,malignant(27),db2,0.998546242862392,0.9719777214878278,0.0010852140501966,29.644845920912783
2,malignant(27),sym2,0.998546242862392,0.9719777214878278,0.0010852140501966,29.644845920912783
3,malignant(27),bior1.1,0.9985020586511876,0.9671800149305058,0.0010690169339402,29.710154152228824
4,malignant(9),db1,0.9978584655784568,0.9539059536244928,0.0009208416972563,30.35815023350537
5,malignant(9),db2,0.9976592604718628,0.9444640292966971,0.0010287083648265,29.87707728734209
6,malignant(9),sym2,0.9976592604718628,0.9444640292966971,0.0010287083648265,29.87707728734209
7,malignant(9),bior1.1,0.9978584655784568,0.9539059536244928,0.0009208416972563,30.35815023350537
8,malignant(54),db1,0.997337768227576,0.9783228373210024,0.0005154348900904,32.878261871415376
9,malignant(54),db2,0.9969479580477474,0.9782894287410024,0.002138299208669,26.6993152476708
10,malignant(54),sym2,0.9969479580477474,0.9782894287410024,0.002138299208669,26.6993152476708
11,malignant(54),bior1.1,0.997337768227576,0.9783228373210024,0.0005154348900904,32.878261871415376
12,malignant(19),db1,0.9984184730261776,0.964247711069576,0.0009206179189227,30.35920576244628
13,malignant(19),db2,0.9984544668430304,0.971189943657846,0.0013985203698969,28.543312036082227
14,malignant(19),sym2,0.9984544668430304,0.971189943657846,0.0013985203698969,28.543312036082227
15,malignant(19),bior1.1,0.9984184730261776,0.964247711069576,0.0009206179189227,30.35920576244628
16,malignant(58),db1,0.9998006207445996,0.9781572116019014,0.0006585848799794,31.813882441933103
17,malignant(58),db2,0.999801824626418,0.9732458475570122,0.0004782445848592,33.203499387686
18,malignant(58),sym2,0.999801824626418,0.9732458475570122,0.0004782445848592,33.203499387686
19,malignant(58),bior1.1,0.9998006207445996,0.9781572116019014,0.0006585848799794,31.813882441933103
20,malignant(38),db1,0.9976532056725044,0.9777927806580464,0.0010920165306467,29.61770787350769
21,malignant(38),db2,0.998259665390688,0.9608967690802654,0.0005393544051417,32.68125769845133
22,malignant(38),sym2,0.998259665390688,0.9608967690802654,0.0005393544051417,32.68125769845133
23,malignant(38),bior1.1,0.9976532056725044,0.9777927806580464,0.0010920165306467,29.61770787350769
24,malignant(1),db1,0.9999691178989714,0.970360478951122,0.0009668365651676,30.14646933202065
25,malignant(1),db2,0.9999695600624328,0.9702379976416118,0.0025997285526667,25.850719959650743
26,malignant(1),sym2,0.9999695600624328,0.9702379976416118,0.0025997285526667,25.850719959650743
27,malignant(1),bior1.1,0.9999691178989714,0.970360478951122,0.0009668365651676,30.14646933202065
28,malignant(116),db1,0.9976446136675928,0.960566332262988,0.0010993926338379,29.588471772249708
29,malignant(116),db2,0.9978113950992338,0.9735650559057996,0.0021403537997782,26.69514431981988
30,malignant(116),sym2,0.9978113950992338,0.9735650559057996,0.0021403537997782,26.69514431981988
31,malignant(116),bior1.1,0.9976446136675928,0.960566332262988,0.0010993926338379,29.588471772249708
32,benign(109),db1,0.9976140101063696,0.9644030133829248,0.0008511647056657,30.699863930993253
33,benign(109),db2,0.9978321507337616,0.8850822751737227,0.0013144499521272,28.812559450682667
34,benign(109),sym2,0.9978321507337616,0.8850822751737227,0.0013144499521272,28.812559450682667
35,benign(109),bior1.1,0.9976140101063696,0.9644030133829248,0.0008511647056657,30.699863930993253
36,benign(313),db1,0.996682147119778,0.9805371217955272,0.0001858113985572,37.309276478306245
37,benign(313),db2,0.996662554045456,0.9290606481654758,0.0011127129825277,29.536168448112008
38,benign(313),sym2,0.996662554045456,0.9290606481654758,0.0011127129825277,29.536168448112008
39,benign(313),bior1.1,0.996682147119778,0.9805371217955272,0.0001858113985572,37.309276478306245
40,benign(421),db1,0.997906472288872,0.955517226298776,0.0007836314800513,31.05888125844784
41,benign(421),db2,0.997971316179641,0.9229275584550576,0.0009675445316569,30.143290372570423
42,benign(421),sym2,0.997971316179641,0.9229275584550576,0.0009675445316569,30.143290372570423
43,benign(421),bior1.1,0.997906472288872,0.955517226298776,0.0007836314800513,31.05888125844784
44,benign(341),db1,0.999883419762024,0.9825424292820132,0.0006795774562004,31.67761036527753
45,benign(341),db2,0.9998916396072952,0.9707539473687972,0.000943641996353,30.251927392801687
46,benign(341),sym2,0.9998916396072952,0.9707539473687972,0.000943641996353,30.251927392801687
47,benign(341),bior1.1,0.999883419762024,0.9825424292820132,0.0006795774562004,31.67761036527753
48,benign(434),db1,0.9973364140846236,0.9562973576841944,0.0008231730807726,30.84508840217265
49,benign(434),db2,0.997216779444988,0.9207679255050792,0.0004264550330571,33.701267556446524
50,benign(434),sym2,0.997216779444988,0.9207679255050792,0.0004264550330571,33.701267556446524
51,benign(434),bior1.1,0.9973364140846236,0.9562973576841944,0.0008231730807726,30.84508840217265
