,img_name,Threshold_type,Threshold_function,EKI,SSIM,MSE,PSNR
0,malignant(58),VisuShrink,Soft_thresholding,0.9997800891714872,0.989993566511406,0.00061329879844,32.12327886170748
1,malignant(58),BayesShrink,Soft_thresholding,0.9998043284228268,0.9531116462624742,0.0004670678974222,33.30619981677067
2,malignant(58),thresholding_fct,Soft_thresholding,0.9998040365235374,0.9531112172489618,0.0004670778043458,33.30610770004318
3,malignant(58),VisuShrink,Hard_thresholding,0.9997800891714872,0.989993566511406,0.00061329879844,32.12327886170748
4,malignant(58),BayesShrink,Hard_thresholding,0.999802754364816,0.9390188561020728,0.0003659463585643,34.36582570034063
5,malignant(58),thresholding_fct,Hard_thresholding,0.9998040365235374,0.9531112172489618,0.0004670778043458,33.30610770004318
6,malignant(58),VisuShrink,XT,0.9997800891714872,0.989993566511406,0.00061329879844,32.12327886170748
7,malignant(58),BayesShrink,XT,0.999793150017787,0.9901832224405918,0.0005388426994975,32.68537996799474
8,malignant(58),thresholding_fct,XT,0.9998055188116316,0.9600647196224809,0.0004695941124574,33.2827735669925
9,benign(421),VisuShrink,Soft_thresholding,0.9980248821680447,0.9906056162989454,0.0006162448886096,32.10246669918101
10,benign(421),BayesShrink,Soft_thresholding,0.9978862897322572,0.8944916926273351,0.0011932822622732,29.23256814964797
11,benign(421),thresholding_fct,Soft_thresholding,0.9978863386268229,0.8944916069955523,0.0011932836970037,29.232562927956486
12,benign(421),VisuShrink,Hard_thresholding,0.9980248821680447,0.9906056162989454,0.0006162448886096,32.10246669918101
13,benign(421),BayesShrink,Hard_thresholding,0.9978857116294508,0.8944972701332489,0.0011931787641394,29.23294484692412
14,benign(421),thresholding_fct,Hard_thresholding,0.9978863386268229,0.8944916069955523,0.0011932836970037,29.232562927956486
15,benign(421),VisuShrink,XT,0.9980248821680447,0.9906056162989454,0.0006162448886096,32.10246669918101
16,benign(421),BayesShrink,XT,0.9980349508079748,0.991676896776312,0.0006416735509281,31.92685861476617
17,benign(421),thresholding_fct,XT,0.9979047659909652,0.9074866849124124,0.0010818755904139,29.65822677772124
18,normal(3),VisuShrink,Soft_thresholding,0.9982412977278,0.99050090756649,0.0006728810586746,31.720616967365647
19,normal(3),BayesShrink,Soft_thresholding,0.9979843752072328,0.9176319044462444,0.001994200305603,27.002312215263444
20,normal(3),thresholding_fct,Soft_thresholding,0.9982038356093256,0.9058347320025314,0.002312219014469,26.359710317262127
21,normal(3),VisuShrink,Hard_thresholding,0.9982412977278,0.99050090756649,0.0006728810586746,31.720616967365647
22,normal(3),BayesShrink,Hard_thresholding,0.9979569289378336,0.9175061431214722,0.0019859813156991,27.020248417051512
23,normal(3),thresholding_fct,Hard_thresholding,0.9982038356093256,0.9058347320025314,0.002312219014469,26.359710317262127
24,normal(3),VisuShrink,XT,0.9982412977278,0.99050090756649,0.0006728810586746,31.720616967365647
25,normal(3),BayesShrink,XT,0.997898481268042,0.8487176723518651,0.0063423485551541,21.97749894219928
26,normal(3),thresholding_fct,XT,0.9981350021859272,0.920935545068855,0.0018694378465773,27.28288969310092
27,normal(19),VisuShrink,Soft_thresholding,0.9978004234484273,0.9982649146218313,8.945391291372178e-05,40.48400657671564
28,normal(19),BayesShrink,Soft_thresholding,0.9980259243322323,0.9817458235184703,0.00014983940583596574,38.24373957754236
29,normal(19),thresholding_fct,Soft_thresholding,0.9980256688526169,0.9817457479154207,0.00014984300373093864,38.243635297418905
30,normal(19),VisuShrink,Hard_thresholding,0.9978004234484273,0.9982649146218313,8.945391291372178e-05,40.48400657671564
31,normal(19),BayesShrink,Hard_thresholding,0.9980258628159129,0.9817468962077558,0.00014976904046518232,38.24577952622788
32,normal(19),thresholding_fct,Hard_thresholding,0.9980256688526169,0.9817457479154207,0.00014984300373093864,38.243635297418905
33,normal(19),VisuShrink,XT,0.9978004234484273,0.9982649146218313,8.945391291372178e-05,40.48400657671564
34,normal(19),BayesShrink,XT,0.9977769266679137,0.9983495218925872,9.094501073507509e-05,40.412211214455816
35,normal(19),thresholding_fct,XT,0.9979811325186269,0.9853628424729854,0.00013306731270427505,38.75928613613191
