,VisuShrink_Soft_thresholding,VisuShrink_Hard_thresholding,VisuShrink_XT,BayesShrink_Soft_thresholding,BayesShrink_Hard_thresholding,BayesShrink_XT,thresholding_fct_Soft_thresholding,thresholding_fct_Hard_thresholding,thresholding_fct_XT
EKI,0.9978004234484272,0.9978004234484272,0.9978004234484272,0.9978862897322572,0.9978857116294508,0.9977769266679136,0.9978863386268229,0.9978863386268229,0.9979047659909652
SSIM,0.989993566511406,0.989993566511406,0.989993566511406,0.8944916926273351,0.8944972701332489,0.8487176723518651,0.8944916069955523,0.8944916069955523,0.9074866849124124
MSE,8.945391291372178e-05,8.945391291372178e-05,8.945391291372178e-05,0.0001498394058359,0.0001497690404651,9.094501073507508e-05,0.0001498430037309,0.0001498430037309,0.0001330673127042
PSNR,31.720616967365647,31.720616967365647,31.720616967365647,27.002312215263444,27.020248417051512,21.97749894219928,26.359710317262127,26.359710317262127,27.28288969310092
